Jurisdiction of Occurrence,MMWR Year,MMWR Week,Week Ending Date,All Cause,Natural Cause,Septicemia (A40-A41),Malignant neoplasms (C00-C97),Diabetes mellitus (E10-E14),Alzheimer disease (G30),Influenza and pneumonia (J09-J18),Chronic lower respiratory diseases (J40-J47),"Other diseases of respiratory system (J00-J06,J30-J39,J67,J70-J98)","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Diseases of heart (I00-I09,I11,I13,I20-I51)",Cerebrovascular diseases (I60-I69),"COVID-19 (U071, Multiple Cause of Death)","COVID-19 (U071, Underlying Cause of Death)",flag_allcause,flag_natcause,flag_sept,flag_neopl,flag_diab,flag_alz,flag_inflpn,flag_clrd,flag_otherresp,flag_nephr,flag_otherunk,flag_hd,flag_stroke,flag_cov19mcod,flag_cov19ucod
Hawaii,2020,46,2020-11-14,249,226,0,58,,15,,,,,,50,18,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9)
Hawaii,2020,47,2020-11-21,224,218,,52,,12,,,,,,47,15,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9)
Hawaii,2020,48,2020-11-28,215,194,,40,,10,,,0,,,49,17,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9)
Hawaii,2020,49,2020-12-05,237,220,,46,,11,,,,,10,62,11,13,13,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Hawaii,2020,50,2020-12-12,212,200,,35,,12,,,,,,54,21,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9)
Hawaii,2020,51,2020-12-19,247,234,,51,,,,10,,,,59,24,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9)
Hawaii,2020,52,2020-12-26,198,176,,34,,,,,,,,43,11,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9)
Hawaii,2020,53,2021-01-02,224,202,,54,,,,,,,,41,11,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9)
Hawaii,2021,1,2021-01-09,214,194,,49,,,,,,,12,31,14,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9)
Hawaii,2021,2,2021-01-16,246,232,,52,,,,,,,12,35,17,12,11,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Hawaii,2021,3,2021-01-23,205,196,,40,10,,,,,,11,44,11,14,13,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Hawaii,2021,4,2021-01-30,224,209,,43,,,,15,,,,45,15,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9)
Hawaii,2021,5,2021-02-06,236,227,,37,12,11,,,,,20,57,23,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9)
Hawaii,2021,6,2021-02-13,255,241,,55,,,,,,,16,54,19,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9)
Hawaii,2021,7,2021-02-20,245,226,0,46,,,,,,,24,45,26,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9)
Hawaii,2021,8,2021-02-27,227,218,,49,,11,0,,,,42,48,12,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9)
Hawaii,2021,9,2021-03-06,171,164,,22,,,,,,,35,36,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
Hawaii,2021,10,2021-03-13,175,171,0,26,,,,,,,41,37,14,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9)
Idaho,2020,1,2020-01-04,278,255,,68,,14,,19,,,,44,13,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Idaho,2020,2,2020-01-11,292,270,,71,11,11,,25,,,,58,15,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Idaho,2020,3,2020-01-18,293,268,,59,12,12,,24,,,,65,13,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Idaho,2020,4,2020-01-25,275,247,,51,12,11,,21,,,,57,19,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Idaho,2020,5,2020-02-01,249,223,0,44,,,,19,,,,56,15,0,0,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Idaho,2020,6,2020-02-08,292,264,,50,12,12,,18,,,,63,16,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Idaho,2020,7,2020-02-15,279,251,,48,,11,,16,,,,63,16,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Idaho,2020,8,2020-02-22,318,290,,64,12,12,,20,,,,69,13,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Idaho,2020,9,2020-02-29,290,269,,67,,15,,20,,,,58,15,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Idaho,2020,10,2020-03-07,278,258,0,66,10,,,14,,,,61,10,0,0,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Idaho,2020,11,2020-03-14,282,254,0,52,,16,,22,,,,64,13,0,0,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Idaho,2020,12,2020-03-21,308,279,,66,,11,,17,0,,,69,10,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Idaho,2020,13,2020-03-28,332,303,,64,13,20,,20,,,,62,18,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9)
Idaho,2020,14,2020-04-04,271,249,,51,,19,11,,,,,60,11,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9)
Idaho,2020,15,2020-04-11,306,284,,63,10,15,,19,,,,53,12,22,21,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Idaho,2020,16,2020-04-18,283,256,,56,10,18,0,17,,,,48,16,12,12,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Idaho,2020,17,2020-04-25,262,241,0,51,,10,,20,,,,63,10,12,12,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Idaho,2020,18,2020-05-02,252,225,,50,,,,17,,,,65,10,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9)
Idaho,2020,19,2020-05-09,304,269,0,72,10,17,,13,,,,52,16,,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9)
Idaho,2020,20,2020-05-16,269,239,,50,,,,15,,,,50,12,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9)
Idaho,2020,21,2020-05-23,262,236,,40,13,,,14,,,,47,13,,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9)
Idaho,2020,22,2020-05-30,279,245,,61,,10,,18,0,,,64,14,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9)
Idaho,2020,23,2020-06-06,293,260,,71,,11,,16,,,,76,13,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9)
Idaho,2020,24,2020-06-13,286,265,,57,,16,,12,,,,68,14,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9)
Idaho,2020,25,2020-06-20,282,248,,56,,13,,18,,,,62,14,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Idaho,2020,26,2020-06-27,296,259,,61,14,15,,19,,,0,53,11,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9)
Idaho,2020,27,2020-07-04,281,246,,47,,,,20,,,,69,17,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9)
Idaho,2020,28,2020-07-11,287,249,,41,14,12,,,,,,63,17,15,15,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Idaho,2020,29,2020-07-18,312,276,,59,,12,,15,,,,57,15,26,22,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Idaho,2020,30,2020-07-25,328,298,,61,,12,,13,,,0,62,17,45,44,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Idaho,2020,31,2020-08-01,327,301,,52,15,17,,19,,,,70,,50,46,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Idaho,2020,32,2020-08-08,312,281,,65,10,12,,14,,,,47,14,40,35,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Idaho,2020,33,2020-08-15,319,287,,38,12,17,,19,,,,74,15,32,32,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Idaho,2020,34,2020-08-22,360,319,,68,,19,,13,,,,55,21,57,55,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Idaho,2020,35,2020-08-29,327,289,0,60,13,13,,15,,,,62,14,28,25,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Idaho,2020,36,2020-09-05,352,323,,62,,15,,12,,,,76,20,38,30,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Idaho,2020,37,2020-09-12,321,295,0,65,,23,,20,,,0,63,17,25,23,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Idaho,2020,38,2020-09-19,320,289,,61,,20,0,17,,,,62,17,19,13,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Idaho,2020,39,2020-09-26,292,262,,50,15,16,,,,,,54,14,25,24,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Idaho,2020,40,2020-10-03,328,296,,59,,13,,21,,,,65,12,31,26,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Idaho,2020,41,2020-10-10,300,263,,58,,13,0,12,0,,,57,17,25,20,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Idaho,2020,42,2020-10-17,326,306,,52,,16,,16,,,,69,17,37,28,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Idaho,2020,43,2020-10-24,341,316,,62,,15,,19,,,,69,11,43,39,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Idaho,2020,44,2020-10-31,351,320,,50,10,18,,22,,,,65,11,69,63,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Idaho,2020,45,2020-11-07,365,338,0,58,,16,,14,,,,63,18,76,65,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Idaho,2020,46,2020-11-14,409,375,0,61,,25,,17,,,10,68,,83,77,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
Idaho,2020,47,2020-11-21,390,365,,52,11,19,,13,0,,10,66,17,91,82,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,,
Idaho,2020,48,2020-11-28,424,404,,81,14,23,,10,,,11,76,16,99,80,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Idaho,2020,49,2020-12-05,397,381,,56,,16,,24,,,,51,19,128,112,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Idaho,2020,50,2020-12-12,372,349,,53,12,18,,11,,,,52,19,98,85,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Idaho,2020,51,2020-12-19,394,362,,50,11,16,,14,,,14,55,17,101,91,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Idaho,2020,52,2020-12-26,389,355,,63,11,20,,13,,,,55,23,98,85,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Idaho,2020,53,2021-01-02,348,326,0,57,,13,,17,,,15,62,11,81,69,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Idaho,2021,1,2021-01-09,388,362,,61,14,20,,15,,,15,72,,77,68,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
Idaho,2021,2,2021-01-16,339,317,,65,12,14,,20,,,15,61,11,53,44,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Idaho,2021,3,2021-01-23,338,322,,59,,14,,16,,,11,63,19,64,52,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Idaho,2021,4,2021-01-30,284,261,,52,,16,,11,,,,62,11,41,34,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Idaho,2021,5,2021-02-06,323,298,,63,,15,,10,,,11,56,17,38,31,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Idaho,2021,6,2021-02-13,298,274,,56,10,14,,16,,,20,52,22,25,19,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Idaho,2021,7,2021-02-20,292,270,,58,,11,,15,,,10,75,,26,17,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
Idaho,2021,8,2021-02-27,256,241,0,47,10,,,13,10,,10,49,17,22,20,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,,
Idaho,2021,9,2021-03-06,213,206,,44,,11,,14,,,,48,11,15,13,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Idaho,2021,10,2021-03-13,187,181,,44,,11,,,,,11,38,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
Illinois,2020,1,2020-01-04,2191,2007,29,427,57,74,45,106,43,57,24,521,119,,,,,,,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9)
Illinois,2020,2,2020-01-11,2252,2080,46,477,65,93,57,131,27,43,21,512,131,0,0,,,,,,,,,,,,,,,
Illinois,2020,3,2020-01-18,2231,2065,30,476,59,94,62,116,39,70,21,489,140,,,,,,,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9)
Illinois,2020,4,2020-01-25,2199,2034,32,448,72,87,55,110,21,51,18,518,136,0,0,,,,,,,,,,,,,,,
Illinois,2020,5,2020-02-01,2137,1984,33,450,61,76,72,120,26,60,26,482,131,0,0,,,,,,,,,,,,,,,
Illinois,2020,6,2020-02-08,2232,2053,26,449,63,74,52,117,32,58,31,543,116,0,0,,,,,,,,,,,,,,,
Illinois,2020,7,2020-02-15,2216,2055,32,451,59,88,61,117,32,60,20,525,130,0,0,,,,,,,,,,,,,,,
Illinois,2020,8,2020-02-22,2207,2051,36,460,65,82,63,118,40,55,15,504,117,0,0,,,,,,,,,,,,,,,
Illinois,2020,9,2020-02-29,2208,2022,32,460,56,86,62,110,36,49,26,538,115,0,0,,,,,,,,,,,,,,,
Illinois,2020,10,2020-03-07,2254,2080,39,467,66,73,93,134,27,53,18,525,119,0,0,,,,,,,,,,,,,,,
Illinois,2020,11,2020-03-14,2191,2020,35,455,54,75,87,98,38,61,22,530,127,,,,,,,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9)
Illinois,2020,12,2020-03-21,2283,2103,36,472,49,102,84,127,33,57,32,510,119,14,14,,,,,,,,,,,,,,,
Illinois,2020,13,2020-03-28,2304,2160,28,449,71,111,81,129,40,55,24,487,130,73,72,,,,,,,,,,,,,,,
Illinois,2020,14,2020-04-04,2622,2440,33,478,72,103,77,125,31,62,21,544,108,299,293,,,,,,,,,,,,,,,
Illinois,2020,15,2020-04-11,2870,2669,32,469,90,96,54,124,24,59,21,600,135,470,460,,,,,,,,,,,,,,,
Illinois,2020,16,2020-04-18,2912,2739,22,459,84,104,74,124,28,60,20,538,131,589,568,,,,,,,,,,,,,,,
Illinois,2020,17,2020-04-25,3010,2829,21,453,63,95,51,111,33,48,30,565,135,677,657,,,,,,,,,,,,,,,
Illinois,2020,18,2020-05-02,2952,2763,27,444,66,107,51,118,26,47,17,533,134,741,704,,,,,,,,,,,,,,,
Illinois,2020,19,2020-05-09,2962,2748,29,424,64,86,51,101,30,48,24,522,134,789,757,,,,,,,,,,,,,,,
Illinois,2020,20,2020-05-16,2864,2677,29,469,76,81,37,88,29,59,23,493,122,696,669,,,,,,,,,,,,,,,
Illinois,2020,21,2020-05-23,2639,2478,41,455,61,81,48,90,33,51,23,507,133,575,540,,,,,,,,,,,,,,,
Illinois,2020,22,2020-05-30,2548,2318,20,438,65,80,35,114,21,49,33,477,109,470,443,,,,,,,,,,,,,,,
Illinois,2020,23,2020-06-06,2509,2251,37,449,70,76,25,80,31,38,18,477,119,428,399,,,,,,,,,,,,,,,
Illinois,2020,24,2020-06-13,2270,2085,18,426,64,79,27,88,21,41,24,472,111,318,293,,,,,,,,,,,,,,,
Illinois,2020,25,2020-06-20,2255,2042,20,400,51,85,26,90,15,49,24,492,127,269,235,,,,,,,,,,,,,,,
Illinois,2020,26,2020-06-27,2132,1930,34,426,65,78,30,86,27,53,23,461,108,150,130,,,,,,,,,,,,,,,
Illinois,2020,27,2020-07-04,2182,1974,31,427,47,82,35,90,26,44,22,459,128,146,131,,,,,,,,,,,,,,,
Illinois,2020,28,2020-07-11,2189,1950,36,430,62,83,37,87,23,43,37,483,109,110,99,,,,,,,,,,,,,,,
Illinois,2020,29,2020-07-18,2087,1904,24,466,57,74,28,73,19,43,34,462,119,89,80,,,,,,,,,,,,,,,
Illinois,2020,30,2020-07-25,2034,1833,22,425,65,64,27,79,15,38,31,465,112,82,75,,,,,,,,,,,,,,,
Illinois,2020,31,2020-08-01,2071,1890,28,441,65,89,31,60,25,35,24,459,125,90,82,,,,,,,,,,,,,,,
Illinois,2020,32,2020-08-08,2138,1964,37,440,57,82,37,94,18,40,20,484,105,98,85,,,,,,,,,,,,,,,
Illinois,2020,33,2020-08-15,2125,1928,36,471,53,64,35,90,16,38,30,475,105,102,85,,,,,,,,,,,,,,,
Illinois,2020,34,2020-08-22,2150,1946,39,437,77,76,28,82,27,67,26,453,128,97,80,,,,,,,,,,,,,,,
Illinois,2020,35,2020-08-29,2118,1914,21,445,58,67,26,72,21,40,22,501,113,130,120,,,,,,,,,,,,,,,
Illinois,2020,36,2020-09-05,2197,2000,37,422,65,88,33,91,26,39,34,511,115,119,103,,,,,,,,,,,,,,,
Illinois,2020,37,2020-09-12,2080,1874,19,412,49,82,18,87,24,44,30,457,133,119,96,,,,,,,,,,,,,,,
Illinois,2020,38,2020-09-19,2079,1892,28,413,69,84,37,90,21,29,28,471,109,129,103,,,,,,,,,,,,,,,
Illinois,2020,39,2020-09-26,2295,2100,27,482,65,73,40,92,30,44,33,487,134,139,117,,,,,,,,,,,,,,,
Illinois,2020,40,2020-10-03,2137,1944,24,450,59,79,40,90,23,36,29,467,121,147,115,,,,,,,,,,,,,,,
Illinois,2020,41,2020-10-10,2331,2161,26,435,72,86,40,85,31,42,25,522,133,188,154,,,,,,,,,,,,,,,
Illinois,2020,42,2020-10-17,2280,2095,24,409,60,94,39,101,29,38,23,500,122,226,186,,,,,,,,,,,,,,,
Illinois,2020,43,2020-10-24,2289,2115,32,417,66,99,40,88,23,44,30,475,123,264,220,,,,,,,,,,,,,,,
Illinois,2020,44,2020-10-31,2455,2279,25,438,68,106,28,93,28,58,36,515,114,330,290,,,,,,,,,,,,,,,
